path	line	text	classification
third_party_manifest/runtime.lock	1	default_visual_runtime=rt201	active-build-runtime
third_party_manifest/runtime.lock	2	default_vendor320_visual_runtime=rt123	active-build-runtime
third_party_manifest/runtime.lock	3	default_vendor320_perf_runtime=rt201	active-build-runtime
third_party_manifest/runtime.lock	4	runtime=rt123|spacemit-ort.riscv64.1.2.3|https://archive.spacemit.com/spacemit-ai/onnxruntime/spacemit-ort.riscv64.1.2.3.tar.gz|031e61205e597840c297c492b5d3ceddf9f8e618a9b17ed4b6370358c1b9a21b	active-build-runtime
third_party_manifest/runtime.lock	5	runtime=rt201|spacemit-ort.riscv64.2.0.1|https://archive.spacemit.com/spacemit-ai/onnxruntime/spacemit-ort.riscv64.2.0.1.tar.gz|8a15035aca34d5fd95f24444d4c7843265c1a81f49d84ec6fe9c6d0fdf5b55cf	active-build-runtime
third_party_manifest/runtime.lock	6	runtime=rt202b1|spacemit-ort.riscv64.2.0.2+beta1|https://archive.spacemit.com/spacemit-ai/onnxruntime/spacemit-ort.riscv64.2.0.2%2Bbeta1.tar.gz|215e02fb188441f94b4498b076dbe034d34cc76eef990ebdb64732d250d83799	active-build-runtime
third_party_manifest/runtime.lock	7	runtime=rt202|spacemit-ort.riscv64.2.0.2|https://archive.spacemit.com/spacemit-ai/onnxruntime/spacemit-ort.riscv64.2.0.2.tar.gz|b9d038eab644c42712b93e14648427467a02d1b66115795033093efbeb53c868	active-build-runtime
third_party_manifest/runtime.lock	8	runtime=rt204|spacemit-ort.riscv64.2.0.4|https://github.com/spacemit-com/onnxruntime/releases/download/2.0.4/spacemit-ort.riscv64.2.0.4.tar.gz|bcf02bd12b8a1df969d6986658a9270c1121e5d58f5947d91ea5eba1bd6cd435	active-build-runtime
third_party_manifest/models.lock	2	vendor_yolo11_fp32_320_url=https://archive.spacemit.com/spacemit-ai/BRDK/Model_Zoo/CV/YOLOv11/yolov11n_320x320.onnx	active-build-runtime
third_party_manifest/models.lock	3	vendor_yolo11_int8_320_url=https://archive.spacemit.com/spacemit-ai/BRDK/Model_Zoo/CV/YOLOv11/yolov11n_320x320.q.onnx	active-build-runtime
third_party_manifest/models.lock	4	vendor_yolo11_xquant_config_url=https://archive.spacemit.com/spacemit-ai/BRDK/Model_Zoo/CV/YOLOv11/xquant_config.json	active-build-runtime
DAILY_STATUS.md	5	Create a vendor-grade rt204 Q/DQ Conv repro, gate QOperator, and decide whether	active-user-facing
DAILY_STATUS.md	7	modifying the frozen YOLO11 production repo.	active-user-facing
DAILY_STATUS.md	11	- Verified the YOLO11 production repo remained at	active-user-facing
DAILY_STATUS.md	15	- Built and tested a minimal repro family on CPU and rt204 EP.	active-user-facing
DAILY_STATUS.md	26	`SPACEMIT_EP_DISABLE_OP_TYPE_FILTER=MatMul;Add`.	active-user-facing
DAILY_STATUS.md	44	- YOLO26 full accelerated Q/DQ INT8 remains blocked by rt204 EP handling of	active-user-facing
DAILY_STATUS.md	57	- Keep YOLO11 rt204 reevaluation separate from production policy.	active-user-facing
ISSUES_OPEN.md	13	- YOLO26 INT8 board EP: full CPU-good manual Q/DQ candidates fail rt204	active-user-facing
ISSUES_OPEN.md	21	- Stripped-kernel Q/DQ with `SPACEMIT_EP_DISABLE_OP_TYPE_FILTER=MatMul;Add`:	active-user-facing
ISSUES_OPEN.md	24	- YOLO11 rt204 adoption: direct tensor-probe smoke is positive, but full	active-user-facing
P0_P1_ISSUE_LIST.md	3	Run: `BANANA-YOLO26-INT8-RT204-OPERATOR-SUPPORT-FORENSICS-001`	active-user-facing
P0_P1_ISSUE_LIST.md	15	The frozen YOLO11 production repo was verified read-only at	active-user-facing
P0_P1_ISSUE_LIST.md	24	- YOLO26 INT8 board EP is blocked: rt204 SpaceMIT EP fails to compile CPU-good	active-user-facing
P0_P1_ISSUE_LIST.md	28	- YOLO11 rt204 direct tensor-probe results are promising, but require a	active-user-facing
NEXT_ACTIONS.md	12	`SPACEMIT_EP_DISABLE_OP_TYPE_FILTER=MatMul;Add`. That gate must prove useful	active-user-facing
NEXT_ACTIONS.md	17	## YOLO11 RT204 Follow-Up	active-user-facing
NEXT_ACTIONS.md	19	- Keep YOLO11 production frozen on the `production-2026-07-02` policy.	active-user-facing
NEXT_ACTIONS.md	20	- If rt204 adoption becomes desirable, open a separate YOLO11 gate that reruns	active-user-facing
NEXT_ACTIONS.md	21	the full app, loader, camera, and performance matrix against rt204. The direct	active-user-facing
NEXT_ACTIONS.md	26	- Do not modify `/data/banana-yolo11-spacemit-demo` from this R&D repo.	active-user-facing
P0_P1_P2_ISSUE_LIST.md	13	- YOLO26 full accelerated Q/DQ INT8 on rt204 is blocked by SpaceMIT EP	active-user-facing
