image_id	image_sha256	category_id	category	size_bin	object_threshold_events	B2_CPU_recall	B2_EP_recall	A1_CPU_recall	A1_EP_recall	a1_provider_interaction	a1_cpu_matched_a1_ep_missed	b2_ep_matched_a1_ep_missed	b2_cpu_matched_a1_cpu_missed	a1_ep_recovered_vs_b2_ep	a1_ep_lost_vs_b2_ep	a1_cpu_recovered_vs_b2_cpu	a1_cpu_lost_vs_b2_cpu
584	06fbe181cd523b714a8e63118fe57dbdfd196cc41f75bce13d8b63e7d0846d61	50	spoon	medium	10	0.9	0.9	0.9	1.0	0.09999999999999998	0	0	0	1	0	0	0
584	06fbe181cd523b714a8e63118fe57dbdfd196cc41f75bce13d8b63e7d0846d61	51	bowl	large	10	0.9	0.9	0.9	1.0	0.09999999999999998	0	0	0	1	0	0	0
584	06fbe181cd523b714a8e63118fe57dbdfd196cc41f75bce13d8b63e7d0846d61	56	broccoli	large	10	0.3	0.3	0.3	0.3	0.0	0	0	0	0	0	0	0
584	06fbe181cd523b714a8e63118fe57dbdfd196cc41f75bce13d8b63e7d0846d61	56	broccoli	medium	10	0.4	0.4	0.4	0.4	0.0	0	0	0	0	0	0	0
584	06fbe181cd523b714a8e63118fe57dbdfd196cc41f75bce13d8b63e7d0846d61	57	carrot	medium	90	0.8333333333333334	0.8444444444444444	0.8222222222222222	0.8111111111111111	-0.022222222222222143	2	3	1	0	3	0	1
584	06fbe181cd523b714a8e63118fe57dbdfd196cc41f75bce13d8b63e7d0846d61	57	carrot	small	10	0.7	0.6	0.7	0.6	0.0	1	0	0	0	0	0	0
2471	203739015694c1c36050e897b00dc33967c65882917eadf2c08d1bde55e5e111	17	cat	large	10	1.0	1.0	1.0	0.9	-0.10000000000000009	1	1	0	0	1	0	0
2471	203739015694c1c36050e897b00dc33967c65882917eadf2c08d1bde55e5e111	44	bottle	large	10	0.9	0.9	0.9	0.9	0.0	0	0	0	0	0	0	0
4092	ca94fb682d40d6f3b6e219ad236ee6add09ff9150e86e6277c1f1c4516713a50	1	person	large	10	1.0	1.0	1.0	1.0	0.0	0	0	0	0	0	0	0
4092	ca94fb682d40d6f3b6e219ad236ee6add09ff9150e86e6277c1f1c4516713a50	62	chair	large	10	0.8	0.8	0.8	0.9	0.09999999999999998	0	0	0	1	0	0	0
