image_id	image_sha256	category_id	category	gt_id	gt_bbox	gt_area	size_bin	pyramid_proxy	iou_threshold	a1_cpu_matched_a1_ep_missed	b2_ep_matched_a1_ep_missed	b2_cpu_matched_a1_cpu_missed	a1_ep_recovered_vs_b2_ep	a1_ep_lost_vs_b2_ep	a1_cpu_recovered_vs_b2_cpu	a1_cpu_lost_vs_b2_cpu	any_surface_disagreement	B2_CPU_matched	B2_CPU_detection_id	B2_CPU_score	B2_CPU_rank	B2_CPU_iou	B2_EP_matched	B2_EP_detection_id	B2_EP_score	B2_EP_rank	B2_EP_iou	A1_CPU_matched	A1_CPU_detection_id	A1_CPU_score	A1_CPU_rank	A1_CPU_iou	A1_EP_matched	A1_EP_detection_id	A1_EP_score	A1_EP_rank	A1_EP_iou
2471	203739015694c1c36050e897b00dc33967c65882917eadf2c08d1bde55e5e111	17	cat	46600	[90.84,44.04,379.87,452.82]	88100.38259999997	large	P5	0.95	1	1	0	0	1	0	0	1	1	301	0.5	1	0.9543477610238655	1	301	0.5	1	0.9588039767479352	1	302	0.587569	1	0.9501274850553451	0	0			
4731	380bbbc8de969ec9d3dbe40f1ca3007d9106711ba111fdb58d8a02952c9be091	82	refrigerator	333153	[375.56,70.45,170.19,277.63]	41464.071550000015	large	P5	0.8999999999999999	1	1	0	0	1	0	0	1	1	391	0.5	1	0.9028150453057541	1	398	0.5	1	0.9091163808900543	1	377	0.587569	1	0.9096742837996544	0	0			
4731	380bbbc8de969ec9d3dbe40f1ca3007d9106711ba111fdb58d8a02952c9be091	67	dining table	390909	[141.35,333.65,498.65,85.58]	33975.31865	large	P5	0.85	1	0	0	0	0	0	0	1	1	409	0.055032	3	0.8587974425661777	0	0				1	544	0.003461	5	0.8591487702899727	0	0			
10145	fee8892ce1ad5d9ec7b50f9c9ced6b79d53df9236e5e8cd3b233b3786c4eaf13	63	couch	117617	[467.23,227.76,172.77,107.89]	10532.29455	large	P5	0.95	1	1	0	0	1	0	0	1	1	1651	0.399829	2	0.9576280444051282	1	1691	0.011341	7	0.9554993394076234	1	1620	0.330074	2	0.9705840412929091	0	0			
10870	a325cce0e30dd95de74f0cc921ea0c7f4e87024d4e0e80c4a1f61359381e69fc	76	keyboard	1634587	[207.75,224.1,254.87,154.85]	17530.884700000002	large	P5	0.8999999999999999	1	0	0	0	0	0	0	1	1	2098	0.005773	2	0.9171351566871717	0	0				1	2034	0.006055	2	0.913391403300502	0	0			
13770	d3cdaf8f93ff5769b49b4dfe93dcd8e54d1a71c9f83a1a4e9a5a86d87af9dfb8	17	cat	47706	[1.21,48.01,474.07,509.23]	142183.14285000003	large	P5	0.95	1	1	0	0	1	0	0	1	1	2512	0.5	1	0.9556927318559273	1	2497	0.5	1	0.9505783424233136	1	2467	0.669926	1	0.9538093132904346	0	0			
18654	7511bbb3b6b96cbe8e19b7ec29a26a6538a7d955becf4094011325a6a33dcf3f	19	horse	58592	[344.35,63.36,169.89,316.81]	30236.875749999996	large	P5	0.85	1	1	0	0	1	1	0	1	0	0				1	3294	0.5	1	0.8516870556543048	1	3210	0.669926	1	0.8552698091138126	0	0			
18654	7511bbb3b6b96cbe8e19b7ec29a26a6538a7d955becf4094011325a6a33dcf3f	1	person	1204878	[46.4,113.12,79.85,260.18]	11077.3971	large	P5	0.8	1	0	0	0	0	0	0	1	1	3298	0.5	2	0.8119509869264069	0	0				1	3209	0.669926	2	0.8043732918006606	0	0			
20147	0e8d85379819b6f949baa724ce7c93494244aca87779fb27886b539b80be772f	24	zebra	591192	[71.56,266.33,130.95,164.56]	10167.274050000005	large	P5	0.8999999999999999	1	0	0	0	0	0	0	1	1	3544	0.5	2	0.9127610713743565	0	0				1	3438	0.669926	2	0.9256854901377345	0	0			
40380	b1df65dccf479b07a6e1f9b3065313880e3f51838cc1bd3009856105cced2ddd	53	apple	1551076	[476.39,0.0,122.6,109.65]	10540.261	large	P5	0.7	1	1	0	0	1	0	0	1	1	5378	0.263135	3	0.7250145165663134	1	5378	0.263135	3	0.7026822593572704	1	5167	0.299402	3	0.7231046601756589	0	0			
45099	81aae027e1e3db43adc9aa0de778619129dbce67be7ffa9c0ad1276d1d407caa	81	sink	1130374	[253.35,312.32,157.65,71.82]	9541.0599	large	P5	0.95	1	0	0	0	0	0	0	1	1	6081	0.070808	2	0.9529457756144123	0	0				1	5833	0.072397	2	0.96125870528385	0	0			
51291	c5fc173484575e97e3cd179bba52d3428cb157f7f98043201af6d4d0534da588	14	parking meter	418277	[34.64,46.22,377.97,466.83]	141154.34475	large	P5	0.95	1	0	0	0	0	0	0	1	1	6930	0.5	1	0.9543183419936845	0	0				1	6652	0.669926	1	0.953610999149147	0	0			
65420	bb28aec2e2024f3822376ab1d3aca8a6486eea897744e7ee2c59ee546af2047e	1	person	541713	[1.92,138.18,108.43,284.02]	20255.2945	large	P5	0.8	1	1	0	0	1	0	0	1	1	7859	0.5	3	0.8121359371138618	1	7870	0.5	3	0.8004278038910976	1	7536	0.669926	3	0.8105055495886744	0	0			
65842	51e26e18eea9b5778683d25e085689d57b91672c00518e3d60ca789763af1c2f	55	orange	1052654	[37.1,286.5,472.01,126.77]	23057.23205	large	P5	0.7	1	0	0	0	0	0	0	1	1	8226	0.037348	10	0.7693670458948404	0	0				1	7902	0.039722	10	0.7752632641000168	0	0			
65842	51e26e18eea9b5778683d25e085689d57b91672c00518e3d60ca789763af1c2f	55	orange	1052654	[37.1,286.5,472.01,126.77]	23057.23205	large	P5	0.75	1	0	0	0	0	0	0	1	1	8226	0.037348	10	0.7693670458948404	0	0				1	7902	0.039722	10	0.7752632641000168	0	0			
75990	de0d718fe1b2a567dcde02ebfecb6380d7a64e2f8d1cdf37c904487dcdc0da6c	1	person	224589	[370.02,26.09,104.36,142.31]	9270.480500000003	large	P5	0.85	1	0	0	0	0	0	0	1	1	9356	0.003458	82	0.8631398679925123	0	0				1	8905	0.006055	58	0.8609345077220859	0	0			
76081	9cd274528cf175261aa5790bf448c7695b9fccbb1cf9f31d20b75b036163fe46	67	dining table	413196	[37.56,290.02,300.5,157.47]	25708.458700000007	large	P5	0.65	1	0	0	0	0	0	0	1	1	9428	0.5	1	0.6651091400135889	0	0				1	9056	0.5	1	0.6670238162075217	0	0			
76081	9cd274528cf175261aa5790bf448c7695b9fccbb1cf9f31d20b75b036163fe46	67	dining table	413196	[37.56,290.02,300.5,157.47]	25708.458700000007	large	P5	0.7	1	0	0	0	0	0	0	1	1	9534	0.011341	13	0.7163238198953545	0	0				1	9237	0.006999	22	0.7116199588434959	0	0			
82740	6635ad6c6d7d540e7a085082be35b6e7e691494fc4194dc0fd24e89909660092	19	horse	54304	[217.26,171.11,239.85,155.39]	15609.15305	large	P5	0.85	1	1	0	0	1	0	0	1	1	10354	0.005065	4	0.9011224740026874	1	10344	0.005065	5	0.8550318786966687	1	9973	0.003461	6	0.897944760518541	0	0			
95295	30e9756fd67cb2d90f29621ad1cc47ddf71570119f9530444bbb77857e281e06	9	boat	178620	[0.0,33.71,144.1,108.71]	10574.436099999999	large	P5	0.75	1	0	0	0	0	0	0	1	1	11438	0.08039	7	0.7675759773246912	0	0				1	10969	0.077452	7	0.7625392398132758	0	0			
95295	30e9756fd67cb2d90f29621ad1cc47ddf71570119f9530444bbb77857e281e06	9	boat	180997	[107.26,1.27,392.74,82.77]	20104.082100000003	large	P5	0.95	1	0	0	0	0	0	0	1	1	11464	0.011341	25	0.9548903370424837	0	0				1	10997	0.009942	27	0.9587425229010578	0	0			
95295	30e9756fd67cb2d90f29621ad1cc47ddf71570119f9530444bbb77857e281e06	9	boat	182745	[279.78,77.53,219.94,148.31]	22045.6069	large	P5	0.8999999999999999	1	0	0	0	0	0	0	1	1	11435	0.164557	5	0.9233679870454158	0	0				1	10966	0.145589	5	0.9213169923071381	0	0			
95295	30e9756fd67cb2d90f29621ad1cc47ddf71570119f9530444bbb77857e281e06	1	person	192817	[20.93,156.65,174.94,210.94]	16145.409949999997	large	P5	0.5	1	0	0	0	0	0	0	1	1	11626	0.001002	18	0.6500598458930961	0	0				1	11110	0.0012	16	0.647687355140376	0	0			
