image_id	image_sha256	category_id	category	gt_id	gt_bbox	gt_area	size_bin	pyramid_proxy	iou_threshold	a1_cpu_matched_a1_ep_missed	b2_ep_matched_a1_ep_missed	b2_cpu_matched_a1_cpu_missed	a1_ep_recovered_vs_b2_ep	a1_ep_lost_vs_b2_ep	a1_cpu_recovered_vs_b2_cpu	a1_cpu_lost_vs_b2_cpu	any_surface_disagreement	B2_CPU_matched	B2_CPU_detection_id	B2_CPU_score	B2_CPU_rank	B2_CPU_iou	B2_EP_matched	B2_EP_detection_id	B2_EP_score	B2_EP_rank	B2_EP_iou	A1_CPU_matched	A1_CPU_detection_id	A1_CPU_score	A1_CPU_rank	A1_CPU_iou	A1_EP_matched	A1_EP_detection_id	A1_EP_score	A1_EP_rank	A1_EP_iou
584	06fbe181cd523b714a8e63118fe57dbdfd196cc41f75bce13d8b63e7d0846d61	50	spoon	702615	[5.76,1.44,337.73,69.08]	8202.7375	medium	P4	0.95	0	0	0	1	0	0	0	1	0	0	NA	NA	NA	0	0	NA	NA	NA	0	0	NA	NA	NA	1	11	0.195337	1	0.9512178790452233
584	06fbe181cd523b714a8e63118fe57dbdfd196cc41f75bce13d8b63e7d0846d61	57	carrot	1064598	[512.16,245.48,67.05,76.39]	2917.138400000001	medium	P4	0.8999999999999999	0	0	1	0	0	0	1	1	1	7	0.374053	6	0.9137842652881306	0	0	NA	NA	NA	0	0	NA	NA	NA	0	0	NA	NA	NA
584	06fbe181cd523b714a8e63118fe57dbdfd196cc41f75bce13d8b63e7d0846d61	57	carrot	1065119	[232.12,142.31,37.71,35.98]	900.6093999999998	small	P3	0.8	1	0	0	0	0	0	0	1	1	37	0.036468	16	0.8115823949639185	0	0	NA	NA	NA	1	33	0.033858	14	0.8131139079087538	0	0	NA	NA	NA
584	06fbe181cd523b714a8e63118fe57dbdfd196cc41f75bce13d8b63e7d0846d61	57	carrot	1065909	[233.08,51.86,73.69,65.92]	2837.885099999999	medium	P4	0.8999999999999999	0	1	0	0	1	0	0	1	0	0	NA	NA	NA	1	12	0.175866	8	0.9008919621882284	0	0	NA	NA	NA	0	0	NA	NA	NA
584	06fbe181cd523b714a8e63118fe57dbdfd196cc41f75bce13d8b63e7d0846d61	51	bowl	1538819	[0.0,14.36,640.0,403.98]	219960.02234999998	large	P5	0.95	0	0	0	1	0	0	0	1	0	0	NA	NA	NA	0	0	NA	NA	NA	0	0	NA	NA	NA	1	9	0.25697	2	0.9514741041432679
584	06fbe181cd523b714a8e63118fe57dbdfd196cc41f75bce13d8b63e7d0846d61	57	carrot	1563977	[196.35,170.88,86.03,77.88]	4980.805250000001	medium	P4	0.95	0	0	0	0	0	0	0	1	0	0	NA	NA	NA	1	33	0.043554	14	0.9866859253730688	0	0	NA	NA	NA	1	38	0.032277	16	0.974569993734204
584	06fbe181cd523b714a8e63118fe57dbdfd196cc41f75bce13d8b63e7d0846d61	57	carrot	1917451	[379.09,43.7,58.71,44.43]	2021.0537000000002	medium	P4	0.85	1	1	0	0	1	0	0	1	1	44	0.026491	21	0.8659900481423926	1	206	0.003066	95	0.9015555314396212	1	47	0.021339	21	0.8670736633361043	0	0	NA	NA	NA
584	06fbe181cd523b714a8e63118fe57dbdfd196cc41f75bce13d8b63e7d0846d61	57	carrot	1917451	[379.09,43.7,58.71,44.43]	2021.0537000000002	medium	P4	0.8999999999999999	1	1	0	0	1	0	0	1	1	82	0.011265	36	0.9215723615466637	1	206	0.003066	95	0.9015555314396212	1	80	0.010152	37	0.9252383849023734	0	0	NA	NA	NA
2471	203739015694c1c36050e897b00dc33967c65882917eadf2c08d1bde55e5e111	17	cat	46600	[90.84,44.04,379.87,452.82]	88100.38259999997	large	P5	0.95	1	1	0	0	1	0	0	1	1	301	0.5	1	0.9543477610238655	1	301	0.5	1	0.9588039767479352	1	302	0.587569	1	0.9501274850553451	0	0	NA	NA	NA
4092	ca94fb682d40d6f3b6e219ad236ee6add09ff9150e86e6277c1f1c4516713a50	62	chair	373509	[432.9,245.49,79.1,355.24]	15822.491349999997	large	P5	0.8999999999999999	0	0	0	1	0	0	0	1	0	0	NA	NA	NA	0	0	NA	NA	NA	0	0	NA	NA	NA	1	351	0.014104	3	0.9068357769366643
4092	ca94fb682d40d6f3b6e219ad236ee6add09ff9150e86e6277c1f1c4516713a50	75	remote	1110703	[330.74,540.95,51.04,54.32]	1948.6995999999997	medium	P4	0.95	1	0	0	0	0	1	0	1	0	0	NA	NA	NA	0	0	NA	NA	NA	1	364	0.001371	5	0.9501686900739763	0	0	NA	NA	NA
