surface	expected	verified	status
banana_protected_main_local	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	pass
banana_protected_main_github	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	pass
banana_protected_main_gitlab_rd	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	pass
custom_executor_tree	c2e400de14fb1c88d4aed70a249d9eff19a05d0f	c2e400de14fb1c88d4aed70a249d9eff19a05d0f	pass
xslim_main_local_github_gitlab	9a33f2f770d00fd02ff8bc0f1907135e9bf47f8c	9a33f2f770d00fd02ff8bc0f1907135e9bf47f8c	pass
xslim_long_lived_local_github_gitlab	2bc1be073c84ffd8b4e22e372b8f33de4218f9f8	2bc1be073c84ffd8b4e22e372b8f33de4218f9f8	pass
xslim_release_tag_object_local_github_gitlab	604507c45c8eb2ff5c548d30d981203fedc61ea3	604507c45c8eb2ff5c548d30d981203fedc61ea3	pass
xslim_release_tag_peeled_local_github_gitlab	12647b4a79fe5ec9a3973515a17cece4cb83daf4	12647b4a79fe5ec9a3973515a17cece4cb83daf4	pass
xslim_evidence_tag_object_local_github_gitlab	0048e5de304a7c312c58dc7bab9f8cdabc673c5e	0048e5de304a7c312c58dc7bab9f8cdabc673c5e	pass
xslim_evidence_tag_peeled_local_github_gitlab	515e9e915c3485ea7fa8721dae34d6847a85066b	515e9e915c3485ea7fa8721dae34d6847a85066b	pass
xslim_release_asset_count	10	10	pass
xslim_github_actions_enabled	false	false	pass
xslim_pypi_2.1.2+riscy.1	absent	HTTP-404	pass
data_ncnn_head	a245a70c641a1f20f357c65d103e5f9e50fe84a1	a245a70c641a1f20f357c65d103e5f9e50fe84a1	pass
data_ncnn_tree	20b96dadbd1fc0a53159cb35749719e967b55906	20b96dadbd1fc0a53159cb35749719e967b55906	pass
data_ncnn_dirty_diff_sha256	2bf1cc38885018a02478aa7542581639786c79bca5ce11a6e827d24bcc5f4eca	2bf1cc38885018a02478aa7542581639786c79bca5ce11a6e827d24bcc5f4eca	pass
data_ncnn_dirty_paths	3	3	pass-same-paths
board_execution	forbidden	0-commands	pass
stale_stage_processes	0	0	pass
