lane	pyramid	branch	float_tensor	quant_tensor	raw_quantized_tensor	source_op	dtype	axis	granularity	scale	zero_point	representable_min	representable_max
B1	P3	bbox	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	PPQ_Variable_2238	DequantizeLinear	int8		per-tensor	[0.03251160681247711]	[-104]	-0.7802785634994507	7.510181173682213
B1	P3	confidence	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	PPQ_Variable_2358	DequantizeLinear	int8		per-tensor	[0.11848675459623337]	[127]	-30.21412242203951	0.0
B1	P4	bbox	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	PPQ_Variable_2634	DequantizeLinear	int8		per-tensor	[0.051601748913526535]	[-126]	-0.10320349782705307	13.055242475122213
B1	P4	confidence	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	PPQ_Variable_2733	DequantizeLinear	int8		per-tensor	[0.5248519778251648]	[127]	-133.83725434541702	0.0
B1	P5	bbox	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	PPQ_Variable_2991	DequantizeLinear	int8		per-tensor	[0.06701355427503586]	[-128]	0.0	17.088456340134144
B1	P5	confidence	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	PPQ_Variable_3042	DequantizeLinear	int8		per-tensor	[0.41611647605895996]	[127]	-106.10970139503479	0.0
B2	P3	bbox	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	PPQ_Variable_2238	DequantizeLinear	int8		per-tensor	[0.03251160681247711]	[-104]	-0.7802785634994507	7.510181173682213
B2	P3	confidence	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	PPQ_Variable_2358	DequantizeLinear	int8		per-tensor	[0.10913866013288498]	[127]	-27.83035833388567	0.0
B2	P4	bbox	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	PPQ_Variable_2634	DequantizeLinear	int8		per-tensor	[0.051601748913526535]	[-126]	-0.10320349782705307	13.055242475122213
B2	P4	confidence	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	PPQ_Variable_2733	DequantizeLinear	int8		per-tensor	[0.5148698091506958]	[127]	-131.29180133342743	0.0
B2	P5	bbox	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	PPQ_Variable_2991	DequantizeLinear	int8		per-tensor	[0.06701355427503586]	[-128]	0.0	17.088456340134144
B2	P5	confidence	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	PPQ_Variable_3042	DequantizeLinear	int8		per-tensor	[0.4061771035194397]	[127]	-103.57516139745712	0.0
B3	P3	bbox	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	PPQ_Variable_2238	DequantizeLinear	int8		per-tensor	[0.03278326615691185]	[-106]	-0.7212318554520607	7.638501014560461
B3	P3	confidence	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	PPQ_Variable_2358	DequantizeLinear	int8		per-tensor	[0.1075018122792244]	[127]	-27.41296213120222	0.0
B3	P4	bbox	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	PPQ_Variable_2634	DequantizeLinear	int8		per-tensor	[0.05234597995877266]	[-126]	-0.10469195991754532	13.243532929569483
B3	P4	confidence	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	PPQ_Variable_2733	DequantizeLinear	int8		per-tensor	[0.5550020933151245]	[127]	-141.52553379535675	0.0
B3	P5	bbox	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	PPQ_Variable_2991	DequantizeLinear	int8		per-tensor	[0.06761575490236282]	[-127]	-0.06761575490236282	17.174401745200157
B3	P5	confidence	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	PPQ_Variable_3042	DequantizeLinear	int8		per-tensor	[0.3724365830421448]	[126]	-94.59889209270477	0.3724365830421448
B4	P3	bbox	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	PPQ_Variable_2238	DequantizeLinear	int8		per-tensor	[0.03314314782619476]	[-105]	-0.7622924000024796	7.689210295677185
B4	P3	confidence	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	PPQ_Variable_2358	DequantizeLinear	int8		per-tensor	[0.10457920283079147]	[127]	-26.667696721851826	0.0
B4	P4	bbox	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	PPQ_Variable_2634	DequantizeLinear	int8		per-tensor	[0.052870020270347595]	[-125]	-0.15861006081104279	13.323245108127594
