selection	category_id	image_count
C50	1	33
C50	2	4
C50	3	9
C50	4	3
C50	5	1
C50	6	2
C50	7	2
C50	8	8
C50	9	1
C50	10	3
C50	11	1
C50	13	1
C50	15	4
C50	16	1
C50	17	2
C50	18	4
C50	19	3
C50	22	2
C50	24	1
C50	25	3
C50	27	5
C50	31	4
C50	33	1
C50	34	2
C50	35	3
C50	36	1
C50	37	1
C50	39	2
C50	40	1
C50	41	2
C50	42	1
C50	43	2
C50	44	1
C50	46	1
C50	47	2
C50	48	1
C50	51	1
C50	54	1
C50	57	1
C50	60	1
C50	62	4
C50	63	1
C50	65	2
C50	67	1
C50	72	2
C50	73	1
C50	74	1
C50	75	1
C50	76	1
C50	77	2
C50	79	1
C50	84	1
C50	85	1
C50	87	1
C200	1	111
C200	2	8
C200	3	26
C200	4	6
C200	5	2
C200	6	5
C200	7	10
C200	8	15
C200	9	7
C200	10	11
C200	11	1
C200	13	5
C200	14	1
C200	15	13
C200	16	3
C200	17	9
C200	18	9
C200	19	5
C200	20	2
C200	21	3
C200	22	7
C200	23	1
C200	24	5
C200	25	6
C200	27	7
C200	28	1
C200	31	13
C200	32	5
C200	33	2
C200	34	6
C200	35	5
C200	36	3
C200	37	4
C200	38	7
C200	39	8
C200	40	7
C200	41	4
C200	42	5
C200	43	9
C200	44	9
C200	46	5
C200	47	19
C200	48	8
C200	49	6
C200	50	7
C200	51	14
C200	52	3
C200	53	4
C200	54	4
C200	55	3
C200	56	2
C200	57	2
C200	59	3
C200	60	4
C200	61	2
C200	62	16
C200	63	3
C200	64	6
C200	65	4
C200	67	20
C200	70	6
C200	72	4
C200	73	4
C200	74	4
C200	75	5
C200	76	5
C200	77	9
C200	78	1
C200	79	4
C200	81	9
C200	82	3
C200	84	6
C200	85	8
C200	86	2
C200	87	2
C200	90	2
C500	1	281
C500	2	18
C500	3	57
C500	4	17
C500	5	13
C500	6	14
C500	7	25
C500	8	27
C500	9	13
C500	10	28
C500	11	4
C500	13	9
C500	14	1
C500	15	24
C500	16	15
C500	17	16
C500	18	20
C500	19	9
C500	20	10
C500	21	9
C500	22	14
C500	23	4
C500	24	10
C500	25	13
C500	27	26
C500	28	12
C500	31	30
C500	32	14
C500	33	8
C500	34	11
C500	35	19
C500	36	8
C500	37	19
C500	38	11
C500	39	13
C500	40	12
C500	41	15
C500	42	12
C500	43	19
C500	44	31
C500	46	9
C500	47	38
C500	48	11
C500	49	12
C500	50	15
C500	51	28
C500	52	12
C500	53	8
C500	54	8
C500	55	8
C500	56	5
C500	57	5
C500	59	11
C500	60	8
C500	61	6
C500	62	49
C500	63	11
C500	64	17
C500	65	9
C500	67	48
C500	70	16
C500	72	17
C500	73	11
C500	74	9
C500	75	10
C500	76	10
C500	77	22
C500	78	5
C500	79	12
C500	81	23
C500	82	7
C500	84	19
C500	85	21
C500	86	9
C500	87	5
C500	88	6
C500	90	8
C1000	1	557
C1000	2	26
C1000	3	103
C1000	4	39
C1000	5	22
C1000	6	28
C1000	7	36
C1000	8	53
C1000	9	23
C1000	10	47
C1000	11	7
C1000	13	14
C1000	14	8
C1000	15	45
C1000	16	26
C1000	17	32
C1000	18	38
C1000	19	19
C1000	20	20
C1000	21	15
C1000	22	23
C1000	23	8
C1000	24	25
C1000	25	28
C1000	27	51
C1000	28	30
C1000	31	56
C1000	32	33
C1000	33	15
C1000	34	18
C1000	35	32
C1000	36	21
C1000	37	36
C1000	38	19
