path	mode	shape	dtype	minimum	maximum	sha256	mismatch_count	max_abs_difference
/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000000584.jpg	project-exact	3x640x640	float32	0	1	f3265c2caf20008994910581dd9a44d29bb9e13d150ae1b2713a7901ce5490f6	1206128	1
/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000000584.jpg	vendor-literal	3x640x640	float32	0	1	a43dee0546c5ddd207889c2e5bfdca89ccbab1707d6beb3c0dc1ddc7ddff5407	1206128	1
/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000000996.jpg	project-exact	3x640x640	float32	0	1	72f11ca7a1e414a377778ccdb8346da5b630f062d48c8579946b940862998059	1193969	1
/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000000996.jpg	vendor-literal	3x640x640	float32	0	1	acdddbd1c31214e6f7cd54d7097e134c6bf7bd1c1d1a2eced58824fb4f297c25	1193969	1
/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000001381.jpg	project-exact	3x640x640	float32	0	1	191feb4558a652e2a3b1d9ce916d2fcf4c081380c9548e68d8e6ad17017b0f8d	1217282	1
/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000001381.jpg	vendor-literal	3x640x640	float32	0	1	c3ecae4ec558a6508117ac41c0d2ab33f18b035e74b7ca0a826133e3ae56844a	1217282	1
/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000001453.jpg	project-exact	3x640x640	float32	0	1	e17186ca552f3f7f001ba19b0a6706a877c7ed00c01b917f75d0fd96576095f5	1211636	0.992156863
/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000001453.jpg	vendor-literal	3x640x640	float32	0	1	1fb25b7354dd3e8ee03c043111ed91258d55382a0f2b8297240e7df503d28603	1211636	0.992156863
/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000002209.jpg	project-exact	3x640x640	float32	0.00784313772	0.996078432	be1bdcfa52a1accd369f1c786e740148f247add7ba4fd97aeefeaf320ae588a6	1178628	0.909803927
/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000002209.jpg	vendor-literal	3x640x640	float32	0	1	55fdd89267ef4125bd5e341721e860781d9038b226f7cb4d37f8b641f61f3fe9	1178628	0.909803927
/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000002471.jpg	project-exact	3x640x640	float32	0	1	be21a46b5b0a2f55a84072f3da3534796e64ed9c3ebd92f09f696e3d9eb9cd7f	1178687	1
/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000002471.jpg	vendor-literal	3x640x640	float32	0	1	3872821ed64ccac6c855cd94fb88282ca8dc9b6e9a6899ad2f15ceac34805954	1178687	1
/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000002732.jpg	project-exact	3x640x640	float32	0	1	a7ac1a80c55f9b1dac6ee3b536d696eb9b8b50bfbbe37400f19f4ddb3d6c2d21	1212631	0.980392158
/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000002732.jpg	vendor-literal	3x640x640	float32	0	1	3b8769232bd592fd3f7a672f0562dbf766723ace5489782717cd0257961f70fc	1212631	0.980392158
/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000003326.jpg	project-exact	3x640x640	float32	0	1	c9e6cbc0b1864a0d0c08d64c5be1506db99fb85a993de1fc3b1c5e3bb983986d	1210809	1
/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000003326.jpg	vendor-literal	3x640x640	float32	0	1	ace66bafed24ac74ff858cb0379c170a91212b0f387b7239769db64177f30f36	1210809	1
/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000003926.jpg	project-exact	3x640x640	float32	0	1	705b7e376652d17436fdeef35614af3fe012ec001184304156b67f0f13c3c279	1205233	0.996078432
