scope	artifact	test	result	evidence
host	runtime-tar.gz	checksum-and-tree-manifest	pass	final-host-extract-smoke.log
host	runtime-zip	checksum-and-tree-manifest	pass	final-host-extract-smoke.log
host	internal-rd-tar.gz	checksum-tree-and-exact-onnx	pass	final-host-extract-smoke.log
host	internal-rd-zip	checksum-tree-and-exact-onnx	pass	final-host-extract-smoke.log
host	runtime-extract	cmake-shared-consumer-build	pass	final-host-extract-smoke.log
host	runtime-extract	cmake-static-consumer-build	pass	final-host-extract-smoke.log
host	runtime-extract	pkgconfig-shared-consumer-build	pass	final-host-extract-smoke.log
board	all-four-archives	archive-hash-verification	pass	final-board-extract-smoke-v2.log
board	all-four-extracts	SHA256SUMS-and-system-dependency-verifier	pass	final-board-extract-smoke-v2.log
board	all-four-extracts	healthcheck-and-known-fixture	pass	final-board-extract-smoke-v2.log
board	runtime-extract	cmake-shared-consumer-run	pass-exact-0xd43f5e018b415631	final-board-extract-smoke-v2.log
board	runtime-extract	cmake-static-consumer-run	pass-exact-0xd43f5e018b415631	final-board-extract-smoke-v2.log
board	runtime-extract	pkgconfig-shared-consumer-run	pass-exact-0xd43f5e018b415631	final-board-extract-smoke-v2.log
board	runtime-extract	image-demo	pass	final-board-extract-smoke-v2.log
board	runtime-extract	camera-headless-smoke	pass	final-board-extract-smoke-v2.log
board	runtime-extract	camera-gui-smoke	pass	final-board-extract-smoke-v2.log
board	runtime-extract	uninstall-isolation	pass	final-board-extract-smoke-v2.log
board	runtime-extract	ORT-vendor-linkage-and-private-rpath-scan	pass-none-found	final-board-extract-smoke-v2.log
