role	path	sha256	status	note
accepted_board_orchestrator	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65E-FP32-OPERATING-POINT-LEDGER-B2-C2-UNCONDITIONAL-PERFORMANCE-STABILITY-AND-FUSION-FEASIBILITY-CLOSURE-001/tooling/accepted-stage65e_board_performance.sh	f5345cdf0bc9323943c9c7d618c580de942b7283ce580dd373152652eb6f2fdf	pass	exact bytes used by clean 120-slot board run; raw-only copy
tracked_board_orchestrator	vendor_ort_validation/stage65e_board_performance.sh	e4c5703b041df22914b0a3fed8a17d4118c452ceda8fb02aeea4e396f5b9fd74	pass	future-safe successor differs only by skipping an empty terminal /proc sample
board_two_stage_runner	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65E-FP32-OPERATING-POINT-LEDGER-B2-C2-UNCONDITIONAL-PERFORMANCE-STABILITY-AND-FUSION-FEASIBILITY-CLOSURE-001/bin/stage64_two_stage_runner	b39da697c4c0f309a9955475946ce5ce6b53b264bd3bae7cb50283fb49ce2188	pass	exact measured inference-plus-tail executable
tracked_normalizer	vendor_ort_validation/stage65e_performance.py	e5cf3abdc220b211b213e769f52092bdaa08358f7070f10f982a6492f6048e74	pass	validates final per-slot FNV/output hashes and filters only terminal resource rows lacking positive RSS/thread/FD; timing samples remain exact
accepted_soak_orchestrator	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65E-FP32-OPERATING-POINT-LEDGER-B2-C2-UNCONDITIONAL-PERFORMANCE-STABILITY-AND-FUSION-FEASIBILITY-CLOSURE-001/tooling/accepted-stage65e_board_soak.sh	1c5d7b2c0728ef66bbf0eb48c85f2fd88897314cf60dc3b4f193871955f766b6	pass	exact bytes used for matched 1k and segmented B2/C2 10k runs
tracked_stability_normalizer	vendor_ort_validation/stage65e_stability.py	4977107061d37783be040b43999d89ce09ec92b85b59612cca53c3da5dd31391	pass	validates per-segment identity, FNV, final output hashes, resources and thermal state
accepted_custom_context_orchestrator	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65E-FP32-OPERATING-POINT-LEDGER-B2-C2-UNCONDITIONAL-PERFORMANCE-STABILITY-AND-FUSION-FEASIBILITY-CLOSURE-001/tooling/accepted-stage65e_board_custom_context_v2.sh	d01d1224632a13384f03dbfaf7209b9e50ca46bb1b699a7a6523e4d03063d8f5	pass	exact clean v2 bytes; custom output JSON is separated from the complete 500-row benchmark stream
tracked_custom_context_normalizer	vendor_ort_validation/stage65e_custom_context.py	07d4d51d81b3df1dadce344cdb38172b884e2105fe71a22da12a7e22122a6852	pass	validates 5x100 sample grid, output hash, affinity and finite 300-row JSON
accepted_fusion_probe_orchestrator	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65E-FP32-OPERATING-POINT-LEDGER-B2-C2-UNCONDITIONAL-PERFORMANCE-STABILITY-AND-FUSION-FEASIBILITY-CLOSURE-001/tooling/accepted-stage65e_board_fusion_probe.sh	d9f0e6c8664287667e36753a13417d3a226b08351b4500ab3d83c3039f10ff4d	pass	exact bytes used for read-only ORT level and runtime capability probes
tracked_fusion_normalizer	vendor_ort_validation/stage65e_fusion.py	c61fca7f230f1e63ccbf207b50563b879ef365b6864167137a513b9ac20cd1c9	pass	binds missing provider dumps to current single-EP profiles and the accepted 925-node partition contract without claiming a newly emitted dump
